#
#num reg  count-read  count-written
#
 18 r15                       0           2
## Basic Block at 0x00007fe089108ee7
 10 rax                       3           0
 17 r14                       0           1
## Basic Block at 0x00007fe089108ef3
  3 rdi                       0           1
  5 rbp                       1           0
  6 rsp                       1           1
  7 rbx                       1           0
 10 rax                       2           1
 16 r13                       1           0
 17 r14                       3           0
## Basic Block at 0x00007fe0891121b0
  3 rdi                       2           2
  4 rsi                       2           0
  5 rbp                       4           2
  6 rsp                       8           8
  7 rbx                       2           2
 15 r12                       2           2
## Basic Block at 0x00007fe0891070e0
  3 rdi                       2           0
  6 rsp                       2           2
## Basic Block at 0x00007fe0891121ce
  5 rbp                       2           0
  7 rbx                       4           0
  8 rdx                       4           2
 10 rax                       6           6
## Basic Block at 0x00007fe0891121e1
## Basic Block at 0x00007fe089112238
 10 rax                       1           0
 15 r12                       1           0
## Basic Block at 0x00007fe0891121fd
  3 rdi                       0           1
  5 rbp                       1           1
  6 rsp                       3           3
  7 rbx                       2           1
 10 rax                       5           4
 15 r12                       1           1
## Basic Block at 0x00007fe0891070f0
  3 rdi                       2           0
  6 rsp                       2           2
## Basic Block at 0x00007fe089108f1e
 17 r14                       1           0
## Basic Block at 0x00007fe089108f2b
  5 rbp                       1           0
  7 rbx                       2           0
  8 rdx                       2           0
 10 rax                       2           2
 12 r9                        1           1
 17 r14                       4           0
## Basic Block at 0x00007fe089108f75
  3 rdi                       0           1
  4 rsi                       1           2
  7 rbx                       1           0
 10 rax                       0           1
 11 r8                        0           1
## Basic Block at 0x00007fe089108fbd
 10 rax                       1           0
## Basic Block at 0x00007fe089108fc8
## Basic Block at 0x00007fe089108fca
## Basic Block at 0x00007fe089109920
  7 rbx                       1           0
  8 rdx                       2           2
 10 rax                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe089108fb0
 10 rax                      18           9
 12 r9                        9           0
## Basic Block at 0x00007fe089108fbd
 10 rax                       8           0
## Basic Block at 0x00007fe089108fc8
## Basic Block at 0x00007fe089108f95
## Basic Block at 0x00007fe089108f9e
## Basic Block at 0x00007fe089108fa7
## Basic Block at 0x00007fe0891098bc
  8 rdx                       2           2
 10 rax                       1           0
 11 r8                        2           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891098db
## Basic Block at 0x00007fe089109970
  4 rsi                       2           0
  8 rdx                       2           2
  9 rcx                       6           6
 10 rax                       2           0
 13 r10                       2           2
 17 r14                       4           0
## Basic Block at 0x00007fe089109989
  8 rdx                       3           2
  9 rcx                       1           0
 10 rax                       1           0
 13 r10                       1           0
 17 r14                       2           0
## Basic Block at 0x00007fe0891099a0
  8 rdx                       1           0
 10 rax                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891099b1
  8 rdx                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891099be
  8 rdx                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe089109990
  8 rdx                       3           2
 10 rax                       1           0
 13 r10                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891099a0
  8 rdx                       1           0
 10 rax                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891099b1
## Basic Block at 0x00007fe0891098e6
  8 rdx                       2           2
 10 rax                       1           0
 17 r14                       2           0
## Basic Block at 0x00007fe089108fca
## Basic Block at 0x00007fe089108fd6
## Basic Block at 0x00007fe089108fe2
## Basic Block at 0x00007fe0891099eb
 10 rax                       1           0
## Basic Block at 0x00007fe0891099d0
  8 rdx                       2           2
 10 rax                       2           0
 17 r14                       2           0
## Basic Block at 0x00007fe089109054
 10 rax                       2           1
 17 r14                       1           0
## Basic Block at 0x00007fe089109060
## Basic Block at 0x00007fe089109074
## Basic Block at 0x00007fe08910906a
 17 r14                       1           0
## Basic Block at 0x00007fe089109074
## Basic Block at 0x00007fe089109089
## Basic Block at 0x00007fe08910907f
 17 r14                       1           0
## Basic Block at 0x00007fe089109089
## Basic Block at 0x00007fe0891090a4
## Basic Block at 0x00007fe089109094
  7 rbx                       2           1
## Basic Block at 0x00007fe0891090a4
 10 rax                       2           1
## Basic Block at 0x00007fe0891090b0
  3 rdi                       0           1
  4 rsi                       0           1
  5 rbp                       1           0
  6 rsp                       1           1
  7 rbx                       1           0
  8 rdx                       3           2
 10 rax                       2           1
## Basic Block at 0x00007fe089123540
  9 rcx                       1           1
 10 rax                       1           1
## Basic Block at 0x00007fe089123551
## Basic Block at 0x00007fe089123556
## Basic Block at 0x00007fe089123590
  3 rdi                       1           1
  4 rsi                       1           1
